Date,GHI
2020-02-08 00:00:00,4.639883333
2020-02-09 00:00:00,3.420391667
2020-02-10 00:00:00,4.015516667
2020-02-11 00:00:00,5.081233333
2020-02-12 00:00:00,4.590058333
2020-02-13 00:00:00,5.550083333
2020-02-14 00:00:00,4.707008333
2020-02-15 00:00:00,5.042708333
2020-02-16 00:00:00,4.418366667
2020-02-17 00:00:00,5.067591667
2020-02-18 00:00:00,5.636816667
2020-02-19 00:00:00,6.350425
2020-02-20 00:00:00,5.145483333
2020-02-21 00:00:00,5.7667
2020-02-22 00:00:00,6.243441667
2020-02-23 00:00:00,6.434125
2020-02-24 00:00:00,6.1229
2020-02-25 00:00:00,5.188775
2020-02-26 00:00:00,5.680933333
2020-02-27 00:00:00,5.403366667
2020-02-28 00:00:00,6.12265
2020-02-29 00:00:00,5.796691667
2020-03-01 00:00:00,5.176516667
2020-03-02 00:00:00,4.816608333
2020-03-03 00:00:00,4.1532
2020-03-04 00:00:00,4.285125
2020-03-05 00:00:00,4.463325
2020-03-06 00:00:00,3.399758333
2020-03-07 00:00:00,5.052308333
2020-03-08 00:00:00,4.931158333
2020-03-09 00:00:00,4.916208333
2020-03-10 00:00:00,5.029041667
2020-03-11 00:00:00,4.954483333
2020-03-12 00:00:00,6.153458333
2020-03-13 00:00:00,6.144225
2020-03-14 00:00:00,5.178616667
2020-03-15 00:00:00,6.693333333
2020-03-16 00:00:00,6.1471
2020-03-17 00:00:00,5.987283333
2020-03-18 00:00:00,5.698666667
2020-03-19 00:00:00,5.195333333
2020-03-20 00:00:00,6.153958333
2020-03-21 00:00:00,6.044691667
2020-03-22 00:00:00,6.300491667
2020-03-23 00:00:00,5.735908333
2020-03-24 00:00:00,5.065016667
2020-03-25 00:00:00,5.75035
2020-03-26 00:00:00,5.283633333
2020-03-27 00:00:00,5.239491667
2020-03-28 00:00:00,4.19995
2020-03-29 00:00:00,5.704341667
2020-03-30 00:00:00,5.285141667
2020-03-31 00:00:00,4.233066667
2020-04-01 00:00:00,5.621783333
2020-04-02 00:00:00,5.678833333
2020-04-03 00:00:00,6.185891667
2020-04-04 00:00:00,5.683275
2020-04-05 00:00:00,6.892741667
2020-04-06 00:00:00,5.083058333
2020-04-07 00:00:00,4.884625
2020-04-08 00:00:00,3.9222
2020-04-09 00:00:00,5.728558333
2020-04-10 00:00:00,5.737091667
2020-04-11 00:00:00,4.889091667
2020-04-12 00:00:00,5.596908333
2020-04-13 00:00:00,1.867816667
2020-04-14 00:00:00,4.534533333
2020-04-15 00:00:00,4.452058333
2020-04-16 00:00:00,5.429983333
2020-04-17 00:00:00,4.472725
2020-04-18 00:00:00,5.449091667
2020-04-19 00:00:00,5.1757
2020-04-20 00:00:00,5.584291667
2020-04-21 00:00:00,6.457483333
2020-04-22 00:00:00,4.577166667
2020-04-23 00:00:00,5.740241667
2020-04-24 00:00:00,5.062733333
2020-04-25 00:00:00,5.805525
2020-04-26 00:00:00,5.5169
2020-04-27 00:00:00,6.154783333
2020-04-28 00:00:00,5.878933333
2020-04-29 00:00:00,6.08545
2020-04-30 00:00:00,5.207166667
2020-05-01 00:00:00,6.03805
2020-05-02 00:00:00,4.663708333
2020-05-03 00:00:00,5.464791667
2020-05-04 00:00:00,4.592633333
2020-05-05 00:00:00,4.253583333
2020-05-06 00:00:00,4.880816667
2020-05-07 00:00:00,4.841466667
2020-05-08 00:00:00,4.510683333
2020-05-09 00:00:00,4.7767
2020-05-10 00:00:00,5.5035
2020-05-11 00:00:00,3.838958333
2020-05-12 00:00:00,4.668425
2020-05-13 00:00:00,5.32895
2020-05-14 00:00:00,5.247483333
2020-05-15 00:00:00,5.217991667
2020-05-16 00:00:00,4.272483333
2020-05-17 00:00:00,4.650916667
2020-05-18 00:00:00,6.124416667
2020-05-19 00:00:00,6.448066667
2020-05-20 00:00:00,3.399866667
2020-05-21 00:00:00,6.2427
2020-05-22 00:00:00,6.165941667
2020-05-23 00:00:00,1.4891
2020-05-24 00:00:00,5.269075
2020-05-25 00:00:00,4.344958333
2020-05-26 00:00:00,6.278041667
2020-05-27 00:00:00,5.529083333
2020-05-28 00:00:00,4.094625
2020-05-29 00:00:00,3.191908333
2020-05-30 00:00:00,4.843125
2020-05-31 00:00:00,5.349741667
2020-06-01 00:00:00,5.753025
2020-06-02 00:00:00,5.967441667
2020-06-03 00:00:00,6.481433333
2020-06-04 00:00:00,3.482566667
2020-06-05 00:00:00,6.091116667
2020-06-06 00:00:00,4.356791667
2020-06-07 00:00:00,5.720458333
2020-06-08 00:00:00,6.532991667
2020-06-09 00:00:00,3.159608333
2020-06-10 00:00:00,2.94105
2020-06-11 00:00:00,4.143441667
2020-06-12 00:00:00,5.833833333
2020-06-13 00:00:00,4.894733333
2020-06-14 00:00:00,2.969216667
2020-06-15 00:00:00,4.313208333
2020-06-16 00:00:00,4.991241667
2020-06-17 00:00:00,5.370116667
2020-06-18 00:00:00,6.145133333
2020-06-19 00:00:00,3.97175
2020-06-20 00:00:00,5.586458333
2020-06-21 00:00:00,3.6268
2020-06-22 00:00:00,5.206775
2020-06-23 00:00:00,5.4909
2020-06-24 00:00:00,4.751008333
2020-06-25 00:00:00,3.24855
2020-06-26 00:00:00,5.469508333
2020-06-27 00:00:00,5.332758333
2020-06-28 00:00:00,3.041866667
2020-06-29 00:00:00,2.168291667
2020-06-30 00:00:00,2.612158333
2020-07-01 00:00:00,4.446141667
2020-07-02 00:00:00,5.703241667
2020-07-03 00:00:00,4.314441667
2020-07-04 00:00:00,5.0388
2020-07-05 00:00:00,3.555841667
2020-07-06 00:00:00,3.430008333
2020-07-07 00:00:00,5.052775
2020-07-08 00:00:00,4.669158333
2020-07-09 00:00:00,4.819108333
2020-07-10 00:00:00,5.808341667
2020-07-11 00:00:00,5.056216667
2020-07-12 00:00:00,5.706333333
2020-07-13 00:00:00,5.080458333
2020-07-14 00:00:00,6.802625
2020-07-15 00:00:00,6.373325
2020-07-16 00:00:00,3.385833333
2020-07-17 00:00:00,4.903241667
2020-07-18 00:00:00,3.602683333
2020-07-19 00:00:00,5.185658333
2020-07-20 00:00:00,4.802258333
2020-07-21 00:00:00,3.878741667
2020-07-22 00:00:00,5.033941667
2020-07-23 00:00:00,5.238233333
2020-07-24 00:00:00,4.326291667
2020-07-25 00:00:00,5.342891667
2020-07-26 00:00:00,4.191575
2020-07-27 00:00:00,6.463783333
2020-07-28 00:00:00,4.672008333
2020-07-29 00:00:00,5.826408333
2020-07-30 00:00:00,5.928366667
2020-07-31 00:00:00,2.833108333
2020-08-01 00:00:00,4.023816667
